video_id,video_path,roi_a,roi_b,mode,global_lag_ms,global_r,n_windows,median_residual_lag_ms,iqr_residual_lag_ms,pct_windows_|lag|<=1frame,pct_windows_r>=0.8
10-gt,UBFC_DATASET_MERGED/DATASET_1\10-gt\vid.avi,forehead,left_cheek,unfiltered,42.0561591317906,0.9149919991338713,35,0.35385362711594465,7.0999815500060555,100.0,100.0
10-gt,UBFC_DATASET_MERGED/DATASET_1\10-gt\vid.avi,forehead,left_cheek,filtered,44.44062758469668,0.9562327629244601,35,0.002654566887105858,11.315618431704477,100.0,100.0
10-gt,UBFC_DATASET_MERGED/DATASET_1\10-gt\vid.avi,forehead,right_cheek,unfiltered,52.615626972608,0.9057550877596827,35,-1.159000060121862,7.405089595603398,100.0,100.0
10-gt,UBFC_DATASET_MERGED/DATASET_1\10-gt\vid.avi,forehead,right_cheek,filtered,54.657813897159,0.9665826981720391,35,0.7771271187425969,7.827399975986745,100.0,100.0
10-gt,UBFC_DATASET_MERGED/DATASET_1\10-gt\vid.avi,left_cheek,right_cheek,unfiltered,10.204456921163482,0.8692566163819282,37,-1.0472143899508939,11.14804023235519,100.0,100.0
10-gt,UBFC_DATASET_MERGED/DATASET_1\10-gt\vid.avi,left_cheek,right_cheek,filtered,8.038785513901914,0.9420065619532201,35,0.8129005163325745,15.31002400605567,100.0,100.0
11-gt,UBFC_DATASET_MERGED/DATASET_1\11-gt\vid.avi,forehead,left_cheek,unfiltered,15.58645875393238,0.9082844876926146,71,-2.4306398609821165,12.846531676538799,92.95774647887323,94.36619718309859
11-gt,UBFC_DATASET_MERGED/DATASET_1\11-gt\vid.avi,forehead,left_cheek,filtered,18.15559117627406,0.9466894618196933,71,-3.7417417677138096,13.325139761172666,90.14084507042254,100.0
11-gt,UBFC_DATASET_MERGED/DATASET_1\11-gt\vid.avi,forehead,right_cheek,unfiltered,22.320353567763956,0.8108368582569421,71,-2.4761089645728873,19.734478268405773,100.0,84.50704225352112
11-gt,UBFC_DATASET_MERGED/DATASET_1\11-gt\vid.avi,forehead,right_cheek,filtered,23.70314409149875,0.905881909555097,71,-2.035210028040968,21.424196669157958,100.0,100.0
11-gt,UBFC_DATASET_MERGED/DATASET_1\11-gt\vid.avi,left_cheek,right_cheek,unfiltered,5.2519239208166955,0.7267734203206623,72,-2.266426308633518,31.211939875346932,79.16666666666666,38.88888888888889
11-gt,UBFC_DATASET_MERGED/DATASET_1\11-gt\vid.avi,left_cheek,right_cheek,filtered,5.041281970777807,0.8507900631313208,71,3.380406939195938,37.67910924898845,83.09859154929578,100.0
12-gt,UBFC_DATASET_MERGED/DATASET_1\12-gt\vid.avi,forehead,left_cheek,unfiltered,29.895343627906534,0.8315234670795125,87,2.9572942908776767,13.38763522983751,98.85057471264368,78.16091954022988
12-gt,UBFC_DATASET_MERGED/DATASET_1\12-gt\vid.avi,forehead,left_cheek,filtered,33.17802366084758,0.8565714201278051,87,0.05525706810702857,15.897879739796542,97.70114942528735,89.65517241379311
12-gt,UBFC_DATASET_MERGED/DATASET_1\12-gt\vid.avi,forehead,right_cheek,unfiltered,23.417960205647503,0.8568625285703958,87,-1.5722775518531111,14.324950098949584,100.0,90.80459770114942
12-gt,UBFC_DATASET_MERGED/DATASET_1\12-gt\vid.avi,forehead,right_cheek,filtered,22.996852765366782,0.9273325911364486,87,-0.40308430850855004,13.317030218371606,100.0,100.0
12-gt,UBFC_DATASET_MERGED/DATASET_1\12-gt\vid.avi,left_cheek,right_cheek,unfiltered,-6.374330017239298,0.6503676661255128,85,-3.7735313211728774,7.676719506300733,91.76470588235294,71.76470588235294
12-gt,UBFC_DATASET_MERGED/DATASET_1\12-gt\vid.avi,left_cheek,right_cheek,filtered,-9.292694579071183,0.7746021380120443,86,-1.5191907055290388,7.802068456500452,94.18604651162791,81.3953488372093
5-gt,UBFC_DATASET_MERGED/DATASET_1\5-gt\vid.avi,forehead,left_cheek,unfiltered,8.857617651230973,0.7258891688204526,72,-1.5271176304906335,22.916286702233318,94.44444444444444,19.444444444444446
5-gt,UBFC_DATASET_MERGED/DATASET_1\5-gt\vid.avi,forehead,left_cheek,filtered,9.848575445307914,0.819064901305121,72,-0.08374846913274206,27.73638557769377,94.44444444444444,59.72222222222222
5-gt,UBFC_DATASET_MERGED/DATASET_1\5-gt\vid.avi,forehead,right_cheek,unfiltered,-15.300111847137051,0.49056422868431626,72,1.3435407487303614,46.45472319247628,56.94444444444444,0.0
5-gt,UBFC_DATASET_MERGED/DATASET_1\5-gt\vid.avi,forehead,right_cheek,filtered,-19.730613588674355,0.6398530090282593,72,-0.7032849052080495,53.125635235260496,62.5,0.0
5-gt,UBFC_DATASET_MERGED/DATASET_1\5-gt\vid.avi,left_cheek,right_cheek,unfiltered,-30.574495766840336,0.4563958018474587,86,9.244869055785351,65.28627516315429,50.0,0.0
5-gt,UBFC_DATASET_MERGED/DATASET_1\5-gt\vid.avi,left_cheek,right_cheek,filtered,-31.96241033153141,0.6275229677820738,72,12.434335209314229,39.07989098652955,59.72222222222222,13.88888888888889
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,forehead,left_cheek,unfiltered,-3.760613937444942,0.73126623054587,77,0.7986582896349977,26.0118673041218,88.31168831168831,32.467532467532465
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,forehead,left_cheek,filtered,-4.08187352192287,0.8216136617819849,77,-0.8649013686272392,28.15463861836657,87.01298701298701,74.02597402597402
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,forehead,right_cheek,unfiltered,-10.041975662742136,0.7518618196260191,77,6.4206555998818375,20.898037813812714,93.5064935064935,45.45454545454545
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,forehead,right_cheek,filtered,-7.9573866259904,0.8604995278037468,77,5.576643531743683,23.07026474474263,90.9090909090909,90.9090909090909
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,left_cheek,right_cheek,unfiltered,-1.2222313197828072,0.607830838025277,84,-1.9603113157833434,23.06606450036715,84.52380952380952,5.952380952380952
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,left_cheek,right_cheek,filtered,-3.903649284255254,0.7475665371948548,78,-3.056731684768639,29.00573120309132,80.76923076923077,50.0
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,forehead,left_cheek,unfiltered,30.54446206411671,0.8037394935178338,89,1.9521720351352616,10.170243375425752,100.0,75.28089887640449
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,forehead,left_cheek,filtered,32.462983177553006,0.8964272465876142,89,2.078296557558268,11.068464450311694,100.0,100.0
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,forehead,right_cheek,unfiltered,26.106502906594052,0.7471175321280987,89,0.4567888843265718,15.77947987905975,98.87640449438202,14.606741573033707
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,forehead,right_cheek,filtered,28.910607131982797,0.8509538655743393,89,-1.386021446340191,14.653102757316269,100.0,97.75280898876404
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,left_cheek,right_cheek,unfiltered,-1.0465075488070852,0.7333156903514709,93,-0.29282650749091016,22.085326038484062,100.0,46.236559139784944
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,left_cheek,right_cheek,filtered,-0.8692062995717601,0.8371027793616258,89,0.059768041399947215,20.56518639218662,100.0,79.7752808988764
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,forehead,left_cheek,unfiltered,36.04197867886789,0.866735872450095,63,-0.48767936526574,15.809689838844022,98.4126984126984,93.65079365079364
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,forehead,left_cheek,filtered,34.531546500228316,0.9362347116392622,59,-1.0444956349315266,22.384557003367135,100.0,100.0
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,forehead,right_cheek,unfiltered,32.95555595358793,0.8289428917894466,63,-0.2226996820617444,10.879406126604296,98.4126984126984,84.12698412698413
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,forehead,right_cheek,filtered,30.931148082359528,0.9286270672631406,59,-0.16734932672255454,7.367832639839407,100.0,100.0
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,left_cheek,right_cheek,unfiltered,-0.4232112683973573,0.7902560628680112,69,-1.1719504907611384,13.536999916727943,100.0,60.86956521739131
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,left_cheek,right_cheek,filtered,-3.321133384271313,0.9076508412178547,59,-1.895661254065839,18.427822529803365,100.0,100.0
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,forehead,left_cheek,unfiltered,31.504987541808305,0.7842345690795117,109,-1.9186035969796993,10.799233435217914,100.0,36.69724770642202
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,forehead,left_cheek,filtered,31.73525579434653,0.8874718073481893,108,-2.257405457528957,10.564052708392733,100.0,99.07407407407408
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,forehead,right_cheek,unfiltered,24.69752778744585,0.831070124277935,109,-0.37646204183550874,8.734474324793299,100.0,78.89908256880734
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,forehead,right_cheek,filtered,25.212381092381143,0.9168634899441905,108,-0.9448364882553036,7.2098834775452385,100.0,87.03703703703704
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,left_cheek,right_cheek,unfiltered,-6.756044540373314,0.7715930102866211,110,3.721994207097164,15.676960252846133,100.0,46.36363636363636
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,left_cheek,right_cheek,filtered,-7.501623534485388,0.88202634144308,109,3.3799020070325536,13.846709488157938,100.0,93.57798165137615
