method,file,best_roi,hr,gt_hr,error_for_roi_forehead,error_for_roi_left_cheek,error_for_roi_right_cheek
pos,20241203_152904.mp4,right_cheek,98.4375,95.0,3.4375,24.6875,3.4375
chrom,20241203_152904.mp4,right_cheek,63.28125,95.0,52.8125,52.8125,31.71875
ica,20241203_152904.mp4,forehead,77.34375,95.0,17.65625,24.6875,17.65625
green,20241203_152904.mp4,forehead,77.34375,95.0,17.65625,3.59375,3.4375
pos,20241203_111907.mp4,right_cheek,91.40625,52.0,25.34375,39.40625,39.40625
chrom,20241203_111907.mp4,left_cheek,49.21875,52.0,9.8125,2.78125,2.78125
ica,20241203_111907.mp4,forehead,42.1875,52.0,9.8125,11.28125,2.78125
green,20241203_111907.mp4,left_cheek,70.3125,52.0,18.3125,18.3125,11.28125
pos,2024-11-28 at 10.06.20.mp4,forehead,84.375,85.0,0.625,0.625,14.6875
chrom,2024-11-28 at 10.06.20.mp4,left_cheek,56.25,85.0,0.625,28.75,42.8125
ica,2024-11-28 at 10.06.20.mp4,left_cheek,77.34375,85.0,7.65625,7.65625,7.65625
green,2024-11-28 at 10.06.20.mp4,left_cheek,84.375,85.0,0.625,0.625,0.625
pos,2024-11-28 at 10.10.37.mp4,left_cheek,84.375,95.0,3.4375,10.625,3.4375
chrom,2024-11-28 at 10.10.37.mp4,left_cheek,84.375,95.0,45.78125,10.625,3.4375
ica,2024-11-28 at 10.10.37.mp4,forehead,63.28125,95.0,31.71875,52.8125,31.71875
green,2024-11-28 at 10.10.37.mp4,left_cheek,105.46875,95.0,3.4375,10.46875,3.59375
pos,2024-11-28 at 10.16.37.mp4,right_cheek,77.34375,68.0,2.3125,2.3125,9.34375
chrom,2024-11-28 at 10.16.37.mp4,right_cheek,77.34375,68.0,4.71875,9.34375,9.34375
ica,2024-11-28 at 10.16.37.mp4,forehead,70.3125,68.0,2.3125,9.34375,2.3125
green,2024-11-28 at 10.16.37.mp4,left_cheek,70.3125,68.0,2.3125,2.3125,2.3125
pos,2024-11-28 at 10.32.50.mp4,left_cheek,70.3125,75.0,2.34375,4.6875,4.6875
chrom,2024-11-28 at 10.32.50.mp4,right_cheek,70.3125,75.0,2.34375,2.34375,4.6875
ica,2024-11-28 at 10.32.50.mp4,left_cheek,70.3125,75.0,32.8125,4.6875,2.34375
green,2024-11-28 at 10.32.50.mp4,left_cheek,77.34375,75.0,4.6875,2.34375,2.34375
pos,2024-11-28 at 10.34.52.mp4,left_cheek,70.3125,69.0,1.3125,1.3125,1.3125
chrom,2024-11-28 at 10.34.52.mp4,left_cheek,70.3125,69.0,1.3125,1.3125,12.75
ica,2024-11-28 at 10.34.52.mp4,right_cheek,77.34375,69.0,8.34375,5.71875,8.34375
green,2024-11-28 at 10.34.52.mp4,forehead,70.3125,69.0,1.3125,1.3125,15.375
pos,2024-11-28 at 11.54.15.mp4,left_cheek,70.3125,90.0,1.40625,19.6875,1.40625
chrom,2024-11-28 at 11.54.15.mp4,right_cheek,42.1875,90.0,26.71875,19.6875,47.8125
ica,2024-11-28 at 11.54.15.mp4,forehead,56.25,90.0,33.75,33.75,40.78125
green,2024-11-28 at 11.54.15.mp4,forehead,119.53125,90.0,29.53125,15.46875,5.625
pos,2024-11-28 at 16.13.38.mp4,left_cheek,91.40625,68.0,2.3125,23.40625,2.3125
chrom,2024-11-28 at 16.13.38.mp4,left_cheek,63.28125,68.0,2.3125,4.71875,2.3125
ica,2024-11-28 at 16.13.38.mp4,left_cheek,49.21875,68.0,18.78125,18.78125,25.8125
green,2024-11-28 at 16.13.38.mp4,right_cheek,133.59375,68.0,2.3125,51.53125,65.59375
pos,2024-11-28 at 16.19.35.mp4,left_cheek,84.375,56.0,28.375,28.375,14.3125
chrom,2024-11-28 at 16.19.35.mp4,right_cheek,70.3125,56.0,28.375,21.34375,14.3125
ica,2024-11-28 at 16.19.35.mp4,forehead,56.25,56.0,0.25,7.28125,21.34375
green,2024-11-28 at 16.19.35.mp4,forehead,84.375,56.0,28.375,35.40625,28.375
pos,2024-11-28 at 16.20.48.mp4,right_cheek,84.375,60.0,3.75,10.3125,24.375
chrom,2024-11-28 at 16.20.48.mp4,right_cheek,49.21875,60.0,3.75,3.75,10.78125
ica,2024-11-28 at 16.20.48.mp4,left_cheek,84.375,60.0,24.375,24.375,17.8125
green,2024-11-28 at 16.20.48.mp4,right_cheek,77.34375,60.0,3.28125,38.4375,17.34375
pos,2024-11-28 at 16.26.58.mp4,left_cheek,77.34375,65.0,12.34375,12.34375,12.34375
chrom,2024-11-28 at 16.26.58.mp4,left_cheek,42.1875,65.0,12.34375,22.8125,12.34375
ica,2024-11-28 at 16.26.58.mp4,left_cheek,70.3125,65.0,12.34375,5.3125,12.34375
green,2024-11-28 at 16.26.58.mp4,forehead,70.3125,65.0,5.3125,8.75,12.34375
pos,2024-12-03 at 13.08.04.mp4,right_cheek,84.375,61.0,9.3125,9.3125,23.375
chrom,2024-12-03 at 13.08.04.mp4,right_cheek,42.1875,61.0,18.8125,18.8125,18.8125
ica,2024-12-03 at 13.08.04.mp4,right_cheek,77.34375,61.0,4.75,4.75,16.34375
green,2024-12-03 at 13.08.04.mp4,right_cheek,70.3125,61.0,9.3125,9.3125,9.3125
pos,2024-12-03 at 14.23.29.mp4,right_cheek,77.34375,67.0,10.34375,17.375,10.34375
chrom,2024-12-03 at 14.23.29.mp4,right_cheek,77.34375,67.0,17.78125,10.75,10.34375
ica,2024-12-03 at 14.23.29.mp4,forehead,49.21875,67.0,17.78125,10.75,3.71875
green,2024-12-03 at 14.23.29.mp4,left_cheek,91.40625,67.0,45.5,24.40625,10.34375
pos,2024-12-03 at 15.32.07.mp4,left_cheek,70.3125,96.0,11.625,25.6875,4.59375
chrom,2024-12-03 at 15.32.07.mp4,left_cheek,42.1875,96.0,32.71875,53.8125,32.71875
ica,2024-12-03 at 15.32.07.mp4,right_cheek,84.375,96.0,25.6875,25.6875,11.625
green,2024-12-03 at 15.32.07.mp4,right_cheek,84.375,96.0,4.59375,51.65625,11.625
pos,IMG_9575.mp4,right_cheek,63.28125,66.0,2.71875,18.375,2.71875
chrom,IMG_9575.mp4,right_cheek,63.28125,66.0,2.71875,2.71875,2.71875
ica,IMG_9575.mp4,left_cheek,70.3125,66.0,2.71875,4.3125,2.71875
green,IMG_9575.mp4,right_cheek,119.53125,66.0,2.71875,2.71875,53.53125
pos,IMG_6020.mp4,left_cheek,70.3125,71.0,0.6875,0.6875,0.6875
chrom,IMG_6020.mp4,left_cheek,63.28125,71.0,7.71875,7.71875,0.6875
ica,IMG_6020.mp4,left_cheek,63.28125,71.0,0.6875,7.71875,0.6875
green,IMG_6020.mp4,left_cheek,70.3125,71.0,0.6875,0.6875,0.6875
pos,Video.mov,left_cheek,84.375,60.0,3.28125,24.375,10.3125
chrom,Video.mov,left_cheek,56.25,60.0,3.75,3.75,10.3125
ica,Video.mov,right_cheek,63.28125,60.0,3.28125,3.75,3.28125
green,Video.mov,left_cheek,56.25,60.0,3.28125,3.75,59.53125
pos,20241206_104904.mp4,right_cheek,119.53125,62.0,57.53125,57.53125,57.53125
chrom,20241206_104904.mp4,right_cheek,56.25,62.0,5.75,5.75,5.75
ica,20241206_104904.mp4,right_cheek,56.25,62.0,1.28125,5.75,5.75
green,20241206_104904.mp4,right_cheek,56.25,62.0,8.3125,5.75,5.75
